state,state_abv,total_positive_cases,total_deaths,avg_hospitalized
"Alaska","AK","6158147","31486","49"
"Alabama","AL","62061180","1038241","1106"
"Arkansas","AR","37622536","601561","512"
"Arizona","AZ","95464371","1918434","1737"
"California","CA","379100459","5733089","7191"
"Colorado","CO","49413695","908462","627"
"Connecticut","CT","33618419","1584666","574"
"District of Columbia","DC","6050063","207067","160"
"Delaware","DE","10219638","228375","167"
"Florida","FL","246537443","4471991","2846"
"Georgia","GA","123499113","2349202","2161"
"Hawaii","HI","3863626","52478","65"
"Iowa","IA","38856604","652451","398"
"Idaho","ID","21044382","219713","176"
"Illinois","IL","155523687","3601219","2638"
"Indiana","IN","76263758","1629501","1277"
"Kansas","KS","33617591","446973","314"
"Kentucky","KY","41966662","519333","775"
"Louisiana","LA","61057115","1765199","1068"
"Massachusetts","MA","71324443","3195657","1080"
"Maryland","MD","52034356","1386196","850"
"Maine","ME","4064643","73681","58"
"Michigan","MI","82832274","2892062","1434"
"Minnesota","MN","60388446","931536","515"
"Missouri","MO","60088249","966302","1264"
"Mississippi","MS","38297901","968406","756"
"Montana","MT","11167518","139255","139"
"North Carolina","NC","95648366","1347142","1317"
"North Dakota","ND","13141421","181229","96"
"Nebraska","NE","25447329","255624","250"
"New Hampshire","NH","6973038","170698","86"
"New Jersey","NJ","105084623","5352148","2071"
"New Mexico","NM","20928827","431992","287"
"Nevada","NV","36317473","601874","760"
"New York","NY","216883639","8854467","4351"
"Ohio","OH","103133347","1909606","1569"
"Oklahoma","OK","45753488","469890","724"
"Oregon","OR","17531920","254157","246"
"Pennsylvania","PA","101072365","3384139","1931"
"Rhode Island","RI","14949105","408115","189"
"South Carolina","SC","58314269","1092259","899"
"South Dakota","SD","14345234","202061","169"
"Tennessee","TN","92154114","1185922","1305"
"Texas","TX","311242452","5256010","5759"
"Utah","UT","42543265","221121","271"
"Virginia","VA","65585628","1111918","1236"
"Vermont","VT","1361136","28218","20"
"Washington","WA","42162428","770213","491"
"Wisconsin","WI","76813945","829707","647"
"West Virginia","WV","12471865","214943","235"
"Wyoming","WY","5974723","59935","52"
